t     A     B     C     waiting
967   27    71    58    8
968   26    70    57    8
969   25    69    56    8
970   24    68    55    8
971   23    67    54    8
972   22    66    53    8
973   21    65    52    8
974   20    64    51    8
975   19    63    50    8
976   18    62    49    8
977   17    61    48    8
978   16    60    47    8
979   15    59    46    8
980   14    58    45    8
981   13    57    44    8
982   12    56    43    8
983   11    55    42    8
984   10    54    41    8
985   9     53    40    8
986   8     52    39    8
987   7     51    38    8
988   6     50    37    8
989   5     49    36    8
990   4     48    35    8
991   3     47    34    8
992   2     46    33    8
993   1     45    32    8
994   68    44    31    7
995   67    43    30    7
996   66    42    29    7
997   65    41    28    7
998   64    40    27    7
999   63    39    26    7
1000  62    38    25    7
1001  61    37    24    7
1002  60    36    23    7
1003  59    35    22    7
1004  58    34    21    7
1005  57    33    20    7
1006  56    32    19    7
1007  55    31    18    7
1008  54    30    17    7
1009  53    29    16    7
1010  52    28    15    7
1011  51    27    14    7
1012  50    26    13    7
1013  49    25    12    7
1014  48    24    11    7
1015  47    23    10    7
1016  46    22    9     7
1017  45    21    8     7
1018  44    20    7     7
1019  43    19    6     7
1020  42    18    5     7
1021  41    17    4     7
1022  40    16    3     7
1023  39    15    2     7
1024  38    14    1     7
1025  37    13    73    6
1026  36    12    72    6
1027  35    11    71    6
1028  34    10    70    6
1029  33    9     69    6
1030  32    8     68    6
1031  31    7     67    6
1032  30    6     66    6
1033  29    5     65    6
1034  28    4     64    6
1035  27    3     63    6
1036  26    2     62    6
1037  25    1     61    6
1038  24    98    60    5
1039  23    97    59    5
1040  22    96    58    5
1041  21    95    57    5
1042  20    94    56    5
1043  19    93    55    5
1044  18    92    54    5
1045  17    91    53    5
1046  16    90    52    5
1047  15    89    51    5
1048  14    88    50    5
1049  13    87    49    5
1050  12    86    48    5
1051  11    85    47    5
1052  10    84    46    5
1053  9     83    45    5
1054  8     82    44    5
1055  7     81    43    5
1056  6     80    42    5
1057  5     79    41    5
1058  4     78    40    5
1059  3     77    39    5
1060  2     76    38    5
1061  1     75    37    5
1062  110   74    36    4
1063  109   73    35    4
1064  108   72    34    4
1065  107   71    33    4
1066  106   70    32    4
1067  105   69    31    4
1068  104   68    30    4
1069  103   67    29    4
1070  102   66    28    4
1071  101   65    27    4
1072  100   64    26    4
1073  99    63    25    4
1074  98    62    24    4
1075  97    61    23    4
1076  96    60    22    4
1077  95    59    21    4
1078  94    58    20    4
1079  93    57    19    4
1080  92    56    18    4
1081  91    55    17    4
1082  90    54    16    4
1083  89    53    15    4
1084  88    52    14    4
1085  87    51    13    4
1086  86    50    12    4
1087  85    49    11    4
1088  84    48    10    4
1089  83    47    9     4
1090  82    46    8     4
1091  81    45    7     4
1092  80    44    6     4
1093  79    43    5     4
1094  78    42    4     4
1095  77    41    3     4
1096  76    40    2     4
1097  75    39    1     4
1098  74    38    116   3
1099  73    37    115   3
1100  72    36    114   3
1101  71    35    113   3
1102  70    34    112   3
1103  69    33    111   3
1104  68    32    110   3
1105  67    31    109   3
1106  66    30    108   3
1107  65    29    107   3
1108  64    28    106   3
1109  63    27    105   3
1110  62    26    104   3
1111  61    25    103   3
1112  60    24    102   3
1113  59    23    101   3
1114  58    22    100   3
1115  57    21    99    3
1116  56    20    98    3
1117  55    19    97    3
1118  54    18    96    3
1119  53    17    95    3
1120  52    16    94    3
1121  51    15    93    3
1122  50    14    92    3
1123  49    13    91    3
1124  48    12    90    3
1125  47    11    89    3
1126  46    10    88    3
1127  45    9     87    3
1128  44    8     86    3
1129  43    7     85    3
1130  42    6     84    3
1131  41    5     83    3
1132  40    4     82    3
1133  39    3     81    3
1134  38    2     80    3
1135  37    1     79    3
1136  36    96    78    2
1137  35    95    77    2
1138  34    94    76    2
1139  33    93    75    2
1140  32    92    74    2
1141  31    91    73    2
1142  30    90    72    2
1143  29    89    71    2
1144  28    88    70    2
1145  27    87    69    2
1146  26    86    68    2
1147  25    85    67    2
1148  24    84    66    2
1149  23    83    65    2
1150  22    82    64    2
1151  21    81    63    2
1152  20    80    62    2
1153  19    79    61    2
1154  18    78    60    2
1155  17    77    59    2
1156  16    76    58    2
1157  15    75    57    2
1158  14    74    56    2
1159  13    73    55    2
1160  12    72    54    2
1161  11    71    53    2
1162  10    70    52    2
1163  9     69    51    2
1164  8     68    50    2
1165  7     67    49    2
1166  6     66    48    2
1167  5     65    47    2
1168  4     64    46    2
1169  3     63    45    2
1170  2     62    44    2
1171  1     61    43    2
1172  103   60    42    1
1173  102   59    41    1
1174  101   58    40    1
1175  100   57    39    1
1176  99    56    38    1
1177  98    55    37    1
1178  97    54    36    1
1179  96    53    35    1
1180  95    52    34    1
1181  94    51    33    1
1182  93    50    32    1
1183  92    49    31    1
1184  91    48    30    1
1185  90    47    29    1
1186  89    46    28    1
1187  88    45    27    1
1188  87    44    26    1
1189  86    43    25    1
1190  85    42    24    1
1191  84    41    23    1
1192  83    40    22    1
1193  82    39    21    1
1194  81    38    20    1
1195  80    37    19    1
1196  79    36    18    1
1197  78    35    17    1
1198  77    34    16    1
1199  76    33    15    1
1200  75    32    14    1
1201  74    31    13    1
1202  73    30    12    1
1203  72    29    11    1
1204  71    28    10    1
1205  70    27    9     1
1206  69    26    8     1
1207  68    25    7     1
1208  67    24    6     1
1209  66    23    5     1
1210  65    22    4     1
1211  64    21    3     1
1212  63    20    2     1
1213  62    19    1     1
1214  61    18    62    0
1215  60    17    61    0
